 Date,Time,From,Time,To,Fare,Credit,Balance
 09/May/2024,9:36 AM,Lambert Road - 35 (Touch on Transfer),9:50 AM,Uni of Qld Arrival Stop ,$0.00,,$6.59
 09/May/2024,17:50 PM,UQ Chancellors Place - Stop A ,18:30 PM,Holy Family - 33 ,$3.55,,$3.04
 09/May/2024,18:37 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.04
 09/May/2024,18:37 PM,Indooroopilly station (Touch on Transfer),18:59 PM,Darra station ,$0.79,,$22.25
 10/May/2024,16:32 PM,Darra station ,17:00 PM,Milton station ,$4.34,,$17.91
 13/May/2024,9:04 AM,Darra station ,9:19 AM,Indooroopilly station ,$3.47,,$14.44
 13/May/2024,9:29 AM,Lambert Road - 35 (Touch on Transfer),9:39 AM,Uni of Qld Arrival Stop ,$0.00,,$14.44
 13/May/2024,9:44 AM,UQ Chancellors Place - Stop E (Touch on Transfer),9:46 AM,'St Lucia South' Boomerang Road West ,$0.00,,$14.44
 13/May/2024,16:58 PM,UQ Chancellors Place - Stop D ,17:10 PM,'Toowong' Benson St ,$3.55,,$10.89
 13/May/2024,17:12 PM,Toowong station (Touch on Transfer),17:46 PM,Darra station ,$0.79,,$10.10
 14/May/2024,9:55 AM,Darra station ,10:21 AM,Indooroopilly station ,$3.47,,$6.63
 14/May/2024,10:30 AM,Lambert Road - 35 (Touch on Transfer),10:42 AM,Uni of Qld Arrival Stop ,$0.00,,$6.63
 14/May/2024,17:19 PM,Uni of Qld Arrival Stop ,17:36 PM,Burns Street - 27 ,$3.55,,$3.08
 14/May/2024,17:49 PM,Auto top up(Indooroopilly station ),,,,$20.00,$23.08
 14/May/2024,17:49 PM,Indooroopilly station (Touch on Transfer),17:59 PM,Darra station ,$0.79,,$22.29
 16/May/2024,10:02 AM,Darra station ,10:21 AM,Indooroopilly station ,$3.47,,$18.82
 16/May/2024,10:29 AM,Lambert Road - 35 (Touch on Transfer),10:39 AM,Uni of Qld Arrival Stop ,$0.00,,$18.82
 16/May/2024,16:07 PM,UQ Chancellors Place - Stop B ,16:22 PM,Clarence Road - 36 ,$3.55,,$15.27
 16/May/2024,16:24 PM,Indooroopilly station (Touch on Transfer),16:37 PM,Darra station ,$0.79,,$14.48
 17/May/2024,14:56 PM,Darra station ,15:21 PM,Indooroopilly station ,$3.47,,$11.01
 17/May/2024,15:29 PM,Lambert Road - 35 (Touch on Transfer),15:43 PM,Uni of Qld Arrival Stop ,$0.00,,$11.01
 17/May/2024,18:11 PM,UQ Chancellors Place - Stop A ,18:23 PM,Clarence Road - 36 ,$3.55,,$7.46
